,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Chicago Bulls*,27.6,67.0,15.0,66,16,10.44,-0.37,10.07,115.5,104.5,11.0,94.4,0.297,0.063,0.556,,0.518,11.8,35.1,0.221,,0.476,14.1,69.3,0.219,,Chicago Stadium,759980,18536
1,2.0,Portland Trail Blazers*,28.1,57.0,25.0,59,23,7.27,-0.33,6.94,111.4,104.2,7.2,99.0,0.335,0.128,0.541,,0.495,13.6,35.6,0.253,,0.471,14.3,69.9,0.251,,Memorial Coliseum,528408,12888
2,3.0,Utah Jazz*,28.5,55.0,27.0,57,25,6.39,-0.69,5.7,112.2,105.6,6.6,95.5,0.363,0.067,0.557,,0.504,13.7,32.7,0.286,,0.475,13.0,68.9,0.214,,Delta Center,806663,19675
3,4.0,Phoenix Suns*,27.0,53.0,29.0,56,26,5.94,-0.26,5.68,112.1,106.2,5.9,99.4,0.332,0.083,0.556,,0.508,13.1,31.7,0.258,,0.471,13.0,67.7,0.223,,Arizona Veterans Memorial Coliseum,594327,14496
4,5.0,Cleveland Cavaliers*,27.6,57.0,25.0,55,27,5.45,-0.11,5.34,113.9,108.2,5.7,95.0,0.322,0.101,0.557,,0.506,11.8,30.5,0.259,,0.483,12.3,66.5,0.174,,Coliseum at Richfield,677408,16522
5,6.0,New York Knicks*,27.3,51.0,31.0,52,30,3.89,-0.22,3.67,108.3,104.2,4.1,92.9,0.295,0.089,0.531,,0.491,13.7,34.6,0.216,,0.471,14.0,71.1,0.248,,Madison Square Garden (IV),726608,17722
6,7.0,Boston Celtics*,29.2,51.0,31.0,51,31,3.62,-0.21,3.41,110.8,107.0,3.8,95.8,0.266,0.05,0.544,,0.5,12.7,31.9,0.215,,0.469,11.9,68.7,0.22,,Boston Garden,610776,14885
7,8.0,Golden State Warriors*,25.5,55.0,27.0,50,32,3.9,-0.14,3.77,113.6,109.9,3.7,103.4,0.351,0.103,0.568,,0.524,13.6,31.8,0.262,,0.499,14.9,64.2,0.256,,Oakland-Alameda County Coliseum Arena,616025,15025
8,9.0,San Antonio Spurs*,27.3,47.0,35.0,50,32,3.32,-0.51,2.81,107.5,104.1,3.4,96.2,0.317,0.057,0.528,,0.485,13.9,34.2,0.233,,0.469,13.5,69.8,0.224,,HemisFair Arena,658337,16057
9,10.0,Detroit Pistons*,30.1,48.0,34.0,47,35,2.04,0.01,2.06,107.5,105.3,2.2,91.6,0.307,0.077,0.52,,0.477,13.5,34.9,0.228,,0.468,12.5,68.5,0.204,,The Palace of Auburn Hills,879614,21454
10,11.0,Seattle SuperSonics*,27.3,47.0,35.0,46,36,1.88,-0.02,1.86,110.7,108.8,1.9,95.4,0.317,0.091,0.538,,0.489,14.0,36.5,0.249,,0.491,14.2,66.8,0.269,,Seattle Center Coliseum,588928,12006
11,12.0,Indiana Pacers*,26.4,40.0,42.0,46,36,1.89,-0.04,1.85,111.7,109.9,1.8,99.0,0.334,0.133,0.566,,0.518,14.7,31.8,0.264,,0.483,12.8,67.4,0.27,,Market Square Arena,517352,12618
12,13.0,Los Angeles Clippers*,27.3,45.0,37.0,44,38,1.07,0.03,1.1,105.8,104.7,1.1,96.5,0.314,0.071,0.524,,0.483,13.6,31.6,0.226,,0.475,14.9,67.5,0.244,,Los Angeles Memorial Sports Arena,500200,12200
13,14.0,Los Angeles Lakers*,28.3,43.0,39.0,38,44,-1.1,0.15,-0.95,107.7,108.9,-1.2,92.5,0.327,0.064,0.516,,0.465,12.0,32.7,0.25,,0.493,13.8,64.0,0.187,,Great Western Forum,699240,17055
14,15.0,Philadelphia 76ers,27.6,35.0,47.0,37,45,-1.27,-0.07,-1.34,108.3,109.7,-1.4,93.7,0.335,0.101,0.539,,0.488,13.8,30.9,0.26,,0.496,13.0,66.4,0.192,,The Spectrum,574137,14003
15,16.0,Atlanta Hawks,27.2,38.0,44.0,37,45,-1.5,0.35,-1.15,107.3,108.9,-1.6,97.8,0.277,0.09,0.519,,0.481,13.0,33.6,0.203,,0.497,13.2,68.3,0.209,,Omni Coliseum,511803,12483
16,17.0,New Jersey Nets*,25.6,40.0,42.0,36,46,-1.7,0.15,-1.54,107.0,108.7,-1.7,98.0,0.265,0.088,0.51,,0.473,14.1,39.1,0.194,,0.488,14.1,66.3,0.247,,Brendan Byrne Arena,517356,12618
17,18.0,Houston Rockets,28.0,42.0,40.0,36,46,-1.72,-0.22,-1.94,106.2,108.0,-1.8,95.1,0.293,0.139,0.537,,0.499,15.0,30.9,0.216,,0.477,12.5,66.4,0.209,,The Summit,592790,14458
18,19.0,Milwaukee Bucks,30.2,31.0,51.0,36,46,-1.71,0.26,-1.46,108.8,110.6,-1.8,95.5,0.292,0.139,0.529,,0.486,14.2,35.9,0.221,,0.514,15.3,65.0,0.237,,Bradley Center,635515,15500
19,20.0,Charlotte Hornets,25.2,31.0,51.0,31,51,-3.9,0.33,-3.57,107.1,110.9,-3.8,101.7,0.286,0.049,0.527,,0.485,13.0,31.1,0.216,,0.51,14.1,65.4,0.222,,Charlotte Coliseum,971618,23698
20,21.0,Miami Heat*,24.4,38.0,44.0,30,52,-4.21,0.27,-3.94,106.7,110.9,-4.2,97.7,0.33,0.106,0.532,,0.479,14.6,33.0,0.26,,0.508,13.9,67.6,0.235,,Miami Arena,613583,14965
21,22.0,Washington Bullets,26.1,25.0,57.0,29,53,-4.46,0.11,-4.35,103.9,108.4,-4.5,97.7,0.268,0.074,0.514,,0.471,13.3,28.9,0.208,,0.493,14.0,66.2,0.235,,Capital Centre,505988,12372
22,23.0,Sacramento Kings,25.1,29.0,53.0,26,56,-6.06,0.44,-5.63,103.9,109.9,-6.0,99.6,0.301,0.094,0.525,,0.482,14.3,28.5,0.225,,0.493,13.9,64.2,0.233,,ARCO Arena (II),697574,17014
23,24.0,Orlando Magic,26.6,21.0,61.0,23,59,-6.91,0.4,-6.52,103.5,110.5,-7.0,98.0,0.319,0.086,0.514,,0.467,14.6,32.4,0.238,,0.502,13.5,67.8,0.26,,Orlando Arena,621191,15151
24,25.0,Minnesota Timberwolves,26.4,15.0,67.0,23,59,-7.05,0.2,-6.85,105.0,112.4,-7.4,95.1,0.253,0.054,0.505,,0.467,12.4,31.5,0.188,,0.497,13.0,62.3,0.244,,Target Center,769035,18757
25,26.0,Denver Nuggets,25.7,24.0,58.0,21,61,-7.87,0.28,-7.59,100.7,108.6,-7.9,98.6,0.28,0.057,0.493,,0.451,14.9,34.8,0.207,,0.494,14.7,68.0,0.279,,McNichols Sports Arena,534323,13105
26,27.0,Dallas Mavericks,28.2,22.0,60.0,21,61,-7.65,0.18,-7.47,103.0,111.1,-8.1,94.4,0.281,0.112,0.501,,0.458,13.1,31.2,0.211,,0.483,11.5,67.8,0.259,,Reunion Arena,634380,15473
27,,League Average,27.2,,,41,41,0.0,0.0,0.0,108.2,108.2,,96.6,0.305,0.087,0.531,,0.487,13.6,32.9,0.232,,0.487,13.6,67.1,0.232,,,642339,15610
