,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Year
0,Luka Dončić,Los Angeles Lakers,52.0,48.7,2.0,0.559,27.5,0.614,7.5,8.6,5.0,0.6094,64.0,2026
1,Shai Gilgeous-Alexander,Oklahoma City Thunder,53.0,42.4,2.2,0.592,31.2,0.665,12.1,11.7,6.1,0.7692,65.0,2026
2,Anthony Edwards,Minnesota Timberwolves,54.0,38.3,2.2,0.58,22.6,0.621,6.4,5.2,3.5,0.625,64.0,2026
3,Tyrese Maxey,Philadelphia 76ers,61.0,39.8,2.8,0.537,22.7,0.589,8.1,5.8,4.6,0.5397,63.0,2026
4,Nikola Jokić,Denver Nuggets,48.0,51.6,2.2,0.627,33.6,0.68,11.3,14.6,6.9,0.6094,64.0,2026
5,Jaylen Brown,Boston Celtics,57.0,41.0,1.4,0.526,22.4,0.571,5.6,3.5,2.7,0.6719,64.0,2026
6,Donovan Mitchell,Cleveland Cavaliers,56.0,38.9,1.9,0.567,23.4,0.614,6.7,5.6,3.6,0.6094,64.0,2026
7,Kawhi Leonard,Los Angeles Clippers,49.0,38.0,2.5,0.563,27.8,0.623,6.9,8.2,4.1,0.4921,63.0,2026
8,Giannis Antetokounmpo,Milwaukee Bucks,33.0,42.9,1.7,0.651,33.3,0.67,5.0,10.2,3.0,0.4286,63.0,2026
9,Stephen Curry,Golden State Warriors,39.0,35.5,1.5,0.585,22.8,0.636,4.0,5.4,2.3,0.5079,63.0,2026
10,Lauri Markkanen,Utah Jazz,42.0,35.7,1.5,0.548,21.4,0.608,3.7,2.5,1.6,0.2969,64.0,2026
11,Joel Embiid,Philadelphia 76ers,33.0,38.0,1.7,0.53,25.0,0.606,3.5,4.6,1.7,0.5397,63.0,2026
12,Jalen Brunson,New York Knicks,60.0,36.1,0.8,0.534,20.0,0.581,7.1,3.0,2.6,0.6308,65.0,2026
13,Kevin Durant,Houston Rockets,60.0,36.1,1.7,0.574,20.8,0.632,8.0,4.0,3.3,0.619,63.0,2026
14,Jamal Murray,Denver Nuggets,59.0,37.0,1.3,0.572,22.4,0.619,7.3,4.3,3.3,0.6094,64.0,2026
15,Cade Cunningham,Detroit Pistons,56.0,40.7,2.3,0.508,21.6,0.561,7.0,6.0,4.0,0.7143,63.0,2026
16,Devin Booker,Phoenix Suns,48.0,34.9,1.2,0.499,19.7,0.578,4.4,1.7,1.5,0.5781,64.0,2026
17,Deni Avdija,Portland Trail Blazers,49.0,38.0,1.4,0.526,20.6,0.603,5.1,4.4,2.6,0.4769,65.0,2026
18,Michael Porter Jr.,Brooklyn Nets,51.0,34.6,1.4,0.556,20.1,0.595,3.2,3.1,2.1,0.254,63.0,2026
19,James Harden,Cleveland Cavaliers,54.0,37.2,1.6,0.516,21.2,0.601,5.9,3.8,2.8,0.6094,64.0,2026
20,Keyonte George,Utah Jazz,52.0,34.1,1.4,0.533,18.9,0.61,3.4,1.0,1.3,0.2969,64.0,2026
21,Pascal Siakam,Indiana Pacers,55.0,34.6,1.5,0.531,18.9,0.563,2.8,1.3,1.5,0.2344,64.0,2026
22,Victor Wembanyama,San Antonio Spurs,50.0,37.9,4.0,0.561,28.2,0.621,7.2,9.2,4.1,0.7344,64.0,2026
23,Austin Reaves,Los Angeles Lakers,38.0,33.6,1.5,0.575,21.2,0.651,4.3,3.1,1.7,0.6094,64.0,2026
24,Jalen Johnson,Atlanta Hawks,57.0,41.3,1.8,0.539,21.1,0.584,6.0,4.2,3.1,0.5156,64.0,2026
25,Norman Powell,Miami Heat,49.0,28.7,1.4,0.563,18.2,0.614,3.9,2.4,1.6,0.5538,65.0,2026
26,Paolo Banchero,Orlando Magic,53.0,35.8,1.3,0.502,18.1,0.568,3.9,1.6,1.7,0.5556,63.0,2026
27,Tyler Herro,Miami Heat,20.0,30.4,1.2,0.579,19.2,0.62,1.8,3.8,0.9,0.5538,65.0,2026
28,Trey Murphy III,New Orleans Pelicans,57.0,31.4,1.8,0.575,18.9,0.615,5.5,2.6,2.3,0.3182,66.0,2026
29,Brandon Ingram,Toronto Raptors,61.0,31.2,1.6,0.521,16.4,0.565,3.5,0.4,1.3,0.5714,63.0,2026
30,Zion Williamson,New Orleans Pelicans,49.0,30.8,1.6,0.587,23.3,0.632,4.8,3.0,1.8,0.3182,66.0,2026
31,LeBron James,Los Angeles Lakers,44.0,34.0,1.7,0.549,20.5,0.587,3.6,3.1,1.9,0.6094,64.0,2026
32,Julius Randle,Minnesota Timberwolves,64.0,33.7,1.4,0.528,19.1,0.588,6.7,1.7,2.0,0.625,64.0,2026
33,Shaedon Sharpe,Portland Trail Blazers,48.0,28.4,1.5,0.515,15.6,0.55,1.1,-1.3,0.3,0.4769,65.0,2026
34,Franz Wagner,Orlando Magic,28.0,30.7,1.4,0.528,19.7,0.591,2.8,2.9,1.1,0.5556,63.0,2026
35,Dillon Brooks,Phoenix Suns,50.0,26.4,1.2,0.507,14.8,0.547,2.2,-2.0,0.0,0.5781,64.0,2026
36,Brandon Miller,Charlotte Hornets,48.0,29.0,1.9,0.527,17.0,0.57,2.7,1.3,1.2,0.4923,65.0,2026
37,Desmond Bane,Orlando Magic,63.0,28.8,1.5,0.554,17.0,0.606,5.9,1.3,1.8,0.5556,63.0,2026
38,Anthony Davis,Dallas Mavericks,20.0,34.3,2.8,0.521,21.8,0.551,1.5,2.5,0.7,0.3281,64.0,2026
39,Alperen Şengün,Houston Rockets,56.0,35.5,2.4,0.52,21.0,0.556,5.8,3.7,2.7,0.619,63.0,2026
40,Cooper Flagg,Dallas Mavericks,52.0,31.0,2.1,0.504,17.2,0.549,2.9,1.2,1.4,0.3281,64.0,2026
41,Jimmy Butler,Golden State Warriors,38.0,30.5,1.6,0.554,23.6,0.646,5.9,5.5,2.3,0.5079,63.0,2026
42,Nickeil Alexander-Walker,Atlanta Hawks,61.0,27.2,1.7,0.536,15.0,0.583,3.4,-0.4,0.8,0.5156,64.0,2026
43,Karl-Anthony Towns,New York Knicks,61.0,34.5,1.5,0.541,21.0,0.607,7.4,2.5,2.2,0.6308,65.0,2026
44,Ja Morant,Memphis Grizzlies,20.0,30.9,1.3,0.441,16.7,0.521,0.5,-1.5,0.1,0.371,62.0,2026
45,Jaren Jackson Jr.,Utah Jazz,48.0,27.1,2.5,0.534,15.8,0.576,1.9,-0.5,0.6,0.2969,64.0,2026
46,Ty Jerome,Memphis Grizzlies,10.0,27.6,1.6,0.576,28.2,0.636,1.2,8.8,0.6,0.371,62.0,2026
47,LaMelo Ball,Charlotte Hornets,55.0,31.4,1.3,0.502,18.8,0.532,3.9,3.4,2.1,0.4923,65.0,2026
48,Kon Knueppel,Charlotte Hornets,64.0,27.9,1.0,0.618,17.9,0.65,6.5,3.2,2.7,0.4923,65.0,2026
49,Zach LaVine,Sacramento Kings,39.0,24.3,1.0,0.569,14.8,0.614,1.3,-1.6,0.1,0.2308,65.0,2026
50,Bam Adebayo,Miami Heat,57.0,31.6,1.8,0.501,18.0,0.547,4.7,2.0,1.8,0.5538,65.0,2026
51,Scottie Barnes,Toronto Raptors,61.0,32.2,3.0,0.533,19.1,0.576,5.9,3.7,3.0,0.5714,63.0,2026
52,De'Aaron Fox,San Antonio Spurs,55.0,28.9,1.5,0.551,17.8,0.581,5.0,2.3,1.9,0.7344,64.0,2026
53,Jerami Grant,Portland Trail Blazers,49.0,24.7,1.3,0.535,15.8,0.601,3.3,-0.1,0.7,0.4769,65.0,2026
54,CJ McCollum,Atlanta Hawks,59.0,25.8,1.2,0.536,15.7,0.567,2.0,-0.9,0.5,0.5156,64.0,2026
55,RJ Barrett,Toronto Raptors,39.0,27.4,1.1,0.551,17.0,0.582,2.8,0.8,0.8,0.5714,63.0,2026
56,Trae Young,Washington Wizards,12.0,28.9,1.1,0.5,20.6,0.59,1.0,2.1,0.3,0.254,63.0,2026
57,Jalen Duren,Detroit Pistons,53.0,30.9,1.7,0.627,25.1,0.662,7.6,4.1,2.3,0.7143,63.0,2026
58,DeMar DeRozan,Sacramento Kings,64.0,25.1,1.4,0.513,17.4,0.588,4.6,-0.2,0.9,0.2308,65.0,2026
59,Bennedict Mathurin,Los Angeles Clippers,39.0,25.9,1.1,0.489,13.9,0.571,1.3,-2.8,-0.2,0.4921,63.0,2026
60,Evan Mobley,Cleveland Cavaliers,49.0,30.2,2.8,0.562,18.9,0.582,4.6,2.9,2.0,0.6094,64.0,2026
61,Darius Garland,Los Angeles Clippers,29.0,27.0,0.9,0.529,15.5,0.565,1.4,-1.7,0.1,0.4921,63.0,2026
62,Josh Giddey,Chicago Bulls,42.0,34.4,1.4,0.525,18.7,0.571,2.6,2.7,1.6,0.4062,64.0,2026
63,Amen Thompson,Houston Rockets,61.0,30.6,2.1,0.531,18.3,0.578,7.2,2.1,2.3,0.619,63.0,2026
64,Coby White,Charlotte Hornets,35.0,25.6,0.8,0.521,14.6,0.578,1.0,-3.0,-0.3,0.4923,65.0,2026
65,Grayson Allen,Phoenix Suns,41.0,24.7,1.8,0.526,16.6,0.568,3.3,2.5,1.4,0.5781,64.0,2026
66,Saddiq Bey,New Orleans Pelicans,59.0,25.8,1.0,0.53,17.6,0.584,4.7,0.6,1.2,0.3182,66.0,2026
67,Miles Bridges,Charlotte Hornets,60.0,26.8,1.1,0.517,15.7,0.558,4.7,0.6,1.3,0.4923,65.0,2026
68,Kevin Porter Jr.,Milwaukee Bucks,35.0,30.1,2.7,0.509,18.6,0.565,2.6,1.9,1.2,0.4286,63.0,2026
69,Jayson Tatum,Boston Celtics,2.0,29.5,0.5,0.453,17.9,0.499,0.1,2.3,0.1,0.6719,64.0,2026
70,Jalen Williams,Oklahoma City Thunder,26.0,27.6,1.6,0.507,18.8,0.555,2.4,2.0,0.8,0.7692,65.0,2026
71,Chet Holmgren,Oklahoma City Thunder,56.0,28.1,2.4,0.607,21.3,0.646,7.3,3.9,2.4,0.7692,65.0,2026
72,Immanuel Quickley,Toronto Raptors,60.0,27.7,1.3,0.549,17.0,0.584,5.8,2.4,2.2,0.5714,63.0,2026
73,Derrick White,Boston Celtics,62.0,27.3,2.7,0.486,17.0,0.526,6.0,3.8,3.1,0.6719,64.0,2026
74,Andrew Nembhard,Indiana Pacers,50.0,27.3,1.0,0.512,15.4,0.559,2.2,-1.3,0.3,0.2344,64.0,2026
75,Aaron Gordon,Denver Nuggets,24.0,25.5,0.9,0.575,19.9,0.622,2.2,2.2,0.7,0.6094,64.0,2026
76,Payton Pritchard,Boston Celtics,63.0,26.4,0.9,0.555,17.4,0.578,6.9,2.1,2.1,0.6719,64.0,2026
77,Alex Sarr,Washington Wizards,42.0,27.4,2.8,0.53,20.2,0.554,1.9,1.3,1.0,0.254,63.0,2026
78,Jrue Holiday,Portland Trail Blazers,36.0,27.6,1.3,0.566,18.0,0.59,2.6,2.6,1.2,0.4769,65.0,2026
79,Ryan Rollins,Milwaukee Bucks,61.0,26.9,1.9,0.55,15.6,0.569,2.7,-0.2,0.9,0.4286,63.0,2026
80,Kristaps Porziņģis,Golden State Warriors,19.0,24.0,1.8,0.526,19.7,0.584,1.5,2.8,0.6,0.5079,63.0,2026
81,OG Anunoby,New York Knicks,51.0,23.9,2.4,0.565,15.4,0.602,4.4,1.8,1.6,0.6308,65.0,2026
82,Stephon Castle,San Antonio Spurs,54.0,28.2,1.6,0.511,16.7,0.564,4.0,1.1,1.3,0.7344,64.0,2026
83,Onyeka Okongwu,Atlanta Hawks,58.0,27.2,2.2,0.572,16.4,0.599,4.5,0.7,1.2,0.5156,64.0,2026
84,Paul George,Philadelphia 76ers,27.0,24.8,2.0,0.517,15.6,0.556,1.7,0.9,0.6,0.5397,63.0,2026
85,Dejounte Murray,New Orleans Pelicans,6.0,26.6,2.1,0.522,18.7,0.598,0.3,1.1,0.1,0.3182,66.0,2026
86,Andrew Wiggins,Miami Heat,57.0,23.8,2.1,0.553,15.3,0.579,4.1,1.5,1.6,0.5538,65.0,2026
87,Domantas Sabonis,Sacramento Kings,19.0,31.3,1.1,0.554,19.3,0.59,1.1,0.5,0.4,0.2308,65.0,2026
88,Nikola Vučević,Boston Celtics,60.0,27.6,1.3,0.558,18.2,0.577,4.4,1.6,1.6,0.6719,64.0,2026
89,Russell Westbrook,Sacramento Kings,60.0,27.4,1.5,0.506,15.1,0.532,0.2,-0.5,0.6,0.2308,65.0,2026
90,Matas Buzelis,Chicago Bulls,63.0,23.0,2.2,0.56,14.8,0.593,2.3,-1.0,0.5,0.4062,64.0,2026
91,Jarrett Allen,Cleveland Cavaliers,51.0,25.7,1.9,0.637,21.8,0.67,6.0,2.7,1.7,0.6094,64.0,2026
92,Anthony Black,Orlando Magic,60.0,23.0,2.1,0.516,13.9,0.552,2.8,-0.5,0.7,0.5556,63.0,2026
93,Mikal Bridges,New York Knicks,65.0,23.4,2.2,0.576,16.1,0.592,7.0,3.4,3.0,0.6308,65.0,2026
94,VJ Edgecombe,Philadelphia 76ers,57.0,24.7,2.0,0.505,13.1,0.535,3.0,-0.9,0.5,0.5397,63.0,2026
95,Jaime Jaquez Jr.,Miami Heat,60.0,25.2,1.1,0.528,15.4,0.563,3.4,0.2,1.0,0.5538,65.0,2026
96,Jabari Smith Jr.,Houston Rockets,59.0,24.0,1.8,0.542,13.8,0.571,5.2,-0.5,0.8,0.619,63.0,2026
97,Naji Marshall,Dallas Mavericks,61.0,22.9,1.1,0.564,15.8,0.608,4.3,-0.1,0.9,0.3281,64.0,2026
98,Jaden McDaniels,Minnesota Timberwolves,62.0,22.1,2.1,0.585,14.3,0.62,4.9,-0.1,1.0,0.625,64.0,2026
99,Peyton Watson,Denver Nuggets,49.0,21.8,2.2,0.567,14.5,0.6,2.4,-1.1,0.4,0.6094,64.0,2026
100,Kyshawn George,Washington Wizards,48.0,24.4,1.9,0.524,14.0,0.559,0.8,-1.3,0.3,0.254,63.0,2026
101,Jalen Green,Phoenix Suns,16.0,20.2,1.3,0.436,11.5,0.465,-0.3,-3.6,-0.1,0.5781,64.0,2026
102,Collin Sexton,Chicago Bulls,54.0,20.0,1.1,0.565,17.1,0.62,3.0,0.6,0.8,0.4062,64.0,2026
103,Cam Thomas,Milwaukee Bucks,37.0,19.0,0.3,0.47,13.2,0.534,-0.2,-4.7,-0.5,0.4286,63.0,2026
104,Kelly Oubre Jr.,Philadelphia 76ers,39.0,21.0,1.8,0.555,13.0,0.588,2.2,-1.3,0.2,0.5397,63.0,2026
105,Walker Kessler,Utah Jazz,5.0,28.2,3.2,0.784,20.8,0.786,0.5,3.3,0.2,0.2969,64.0,2026
106,Ivica Zubac,Los Angeles Clippers,43.0,27.6,1.2,0.613,19.0,0.635,4.1,0.1,0.7,0.4921,63.0,2026
107,Anfernee Simons,Chicago Bulls,55.0,19.2,0.6,0.552,14.6,0.576,2.9,-0.2,0.7,0.4062,64.0,2026
108,Ayo Dosunmu,Minnesota Timberwolves,56.0,20.4,1.1,0.596,16.3,0.627,3.7,0.4,0.9,0.625,64.0,2026
109,Devin Vassell,San Antonio Spurs,51.0,20.5,1.2,0.545,13.0,0.57,3.5,0.2,0.9,0.7344,64.0,2026
110,Ajay Mitchell,Oklahoma City Thunder,43.0,21.3,1.7,0.539,17.3,0.59,3.7,2.1,1.1,0.7692,65.0,2026
111,Santi Aldama,Memphis Grizzlies,43.0,23.6,1.6,0.553,16.4,0.572,2.7,1.8,1.2,0.371,62.0,2026
112,Keegan Murray,Sacramento Kings,23.0,21.4,2.6,0.472,11.7,0.499,0.2,-3.2,-0.3,0.2308,65.0,2026
113,P.J. Washington,Dallas Mavericks,46.0,22.8,2.2,0.498,12.7,0.529,1.2,-1.5,0.2,0.3281,64.0,2026
114,Jordan Poole,New Orleans Pelicans,33.0,19.1,1.0,0.484,12.0,0.538,0.3,-3.0,-0.2,0.3182,66.0,2026
115,John Collins,Los Angeles Clippers,54.0,20.0,1.6,0.631,16.2,0.653,3.7,-0.2,0.7,0.4921,63.0,2026
116,Naz Reid,Minnesota Timberwolves,63.0,22.6,2.0,0.569,16.3,0.582,4.0,1.7,1.5,0.625,64.0,2026
117,Jalen Suggs,Orlando Magic,40.0,22.9,2.7,0.528,16.9,0.565,2.2,3.4,1.4,0.5556,63.0,2026
118,De'Andre Hunter,Sacramento Kings,45.0,19.8,0.8,0.49,11.5,0.545,1.2,-3.9,-0.6,0.2308,65.0,2026
119,Tim Hardaway Jr.,Denver Nuggets,63.0,17.6,0.6,0.593,13.8,0.628,3.6,-0.7,0.5,0.6094,64.0,2026
120,Zach Edey,Memphis Grizzlies,11.0,25.8,2.5,0.638,20.7,0.669,0.9,0.7,0.2,0.371,62.0,2026
121,Collin Gillespie,Phoenix Suns,63.0,22.5,1.5,0.576,16.4,0.595,5.4,3.3,2.4,0.5781,64.0,2026
122,Reed Sheppard,Houston Rockets,63.0,19.6,2.1,0.549,15.8,0.565,4.5,2.6,1.9,0.619,63.0,2026
123,Jaylon Tyson,Cleveland Cavaliers,59.0,21.0,1.2,0.604,15.1,0.62,4.0,0.4,1.0,0.6094,64.0,2026
124,Cedric Coward,Memphis Grizzlies,50.0,22.4,1.0,0.539,14.7,0.581,2.2,-0.3,0.6,0.371,62.0,2026
125,Jonathan Kuminga,Atlanta Hawks,23.0,22.0,0.9,0.533,14.9,0.58,0.7,-1.7,0.0,0.5156,64.0,2026
126,Tobias Harris,Detroit Pistons,47.0,20.7,1.3,0.513,14.0,0.56,3.6,0.5,0.8,0.7143,63.0,2026
127,Bobby Portis,Milwaukee Bucks,61.0,21.1,0.7,0.586,17.0,0.595,2.8,0.0,0.7,0.4286,63.0,2026
128,Jeremiah Fears,New Orleans Pelicans,66.0,20.2,1.6,0.475,12.6,0.514,-0.1,-3.7,-0.7,0.3182,66.0,2026
129,Kyle Kuzma,Milwaukee Bucks,58.0,20.4,1.0,0.546,14.1,0.577,1.9,-2.4,-0.1,0.4286,63.0,2026
130,Brandon Williams,Dallas Mavericks,55.0,19.8,1.2,0.502,16.5,0.565,2.0,0.1,0.7,0.3281,64.0,2026
131,Keldon Johnson,San Antonio Spurs,64.0,19.8,0.7,0.602,17.7,0.632,5.2,1.4,1.3,0.7344,64.0,2026
132,Toumani Camara,Portland Trail Blazers,65.0,20.8,1.5,0.546,10.6,0.561,2.8,-1.8,0.1,0.4769,65.0,2026
133,Noah Clowney,Brooklyn Nets,57.0,18.8,1.5,0.506,11.5,0.562,1.3,-3.0,-0.4,0.254,63.0,2026
134,Scoot Henderson,Portland Trail Blazers,13.0,20.2,0.7,0.457,11.5,0.521,0.1,-4.7,-0.2,0.4769,65.0,2026
135,Miles McBride,New York Knicks,35.0,18.3,1.1,0.575,13.5,0.592,2.7,1.3,0.8,0.6308,65.0,2026
136,Sam Merrill,Cleveland Cavaliers,40.0,17.4,0.7,0.652,13.9,0.669,2.9,0.5,0.7,0.6094,64.0,2026
137,Max Christie,Dallas Mavericks,59.0,18.5,0.8,0.57,11.5,0.602,2.5,-1.1,0.4,0.3281,64.0,2026
138,Donte DiVincenzo,Minnesota Timberwolves,64.0,21.3,1.8,0.568,13.7,0.585,5.1,1.5,1.8,0.625,64.0,2026
139,Quentin Grimes,Philadelphia 76ers,57.0,19.7,1.3,0.546,12.7,0.595,2.7,-1.4,0.3,0.5397,63.0,2026
140,De'Anthony Melton,Golden State Warriors,34.0,18.0,2.0,0.481,13.8,0.523,0.7,-2.5,-0.1,0.5079,63.0,2026
141,Malik Monk,Sacramento Kings,52.0,17.4,1.0,0.535,14.1,0.566,0.7,-1.5,0.1,0.2308,65.0,2026
142,Brandin Podziemski,Golden State Warriors,63.0,21.6,1.3,0.533,14.3,0.564,3.7,0.0,0.9,0.5079,63.0,2026
143,Brice Sensabaugh,Utah Jazz,61.0,17.3,0.8,0.53,13.2,0.569,0.8,-3.5,-0.5,0.2969,64.0,2026
144,Tre Johnson,Washington Wizards,50.0,17.4,0.9,0.527,12.1,0.557,0.2,-3.6,-0.5,0.254,63.0,2026
145,Aaron Nesmith,Indiana Pacers,36.0,19.2,1.2,0.481,10.0,0.521,0.3,-3.8,-0.5,0.2344,64.0,2026
146,Jaylen Wells,Memphis Grizzlies,61.0,17.6,1.0,0.521,11.3,0.556,1.8,-3.1,-0.5,0.371,62.0,2026
147,Deandre Ayton,Los Angeles Lakers,55.0,21.4,1.5,0.667,18.0,0.674,4.4,-1.0,0.4,0.6094,64.0,2026
148,Ace Bailey,Utah Jazz,57.0,18.1,1.4,0.513,11.0,0.527,0.0,-4.6,-1.0,0.2969,64.0,2026
149,Nic Claxton,Brooklyn Nets,57.0,23.3,2.0,0.58,18.2,0.597,4.5,1.4,1.4,0.254,63.0,2026
150,Tre Jones,Chicago Bulls,47.0,20.7,1.4,0.573,17.7,0.628,4.1,0.9,0.9,0.4062,64.0,2026
151,Myles Turner,Milwaukee Bucks,59.0,19.1,2.3,0.552,14.3,0.582,2.8,-0.6,0.6,0.4286,63.0,2026
152,Dennis Schröder,Cleveland Cavaliers,53.0,20.1,1.1,0.468,13.3,0.526,0.9,-2.0,0.0,0.6094,64.0,2026
153,Moses Moody,Golden State Warriors,59.0,16.8,1.4,0.578,13.5,0.603,3.2,-0.1,0.7,0.5079,63.0,2026
154,Derik Queen,New Orleans Pelicans,65.0,22.9,1.9,0.498,16.1,0.552,2.4,-0.7,0.5,0.3182,66.0,2026
155,Duncan Robinson,Detroit Pistons,61.0,16.5,0.9,0.585,11.6,0.604,4.5,0.1,0.9,0.7143,63.0,2026
156,Donovan Clingan,Portland Trail Blazers,60.0,25.4,2.0,0.587,20.4,0.605,6.3,2.5,1.8,0.4769,65.0,2026
157,Josh Hart,New York Knicks,53.0,24.4,1.4,0.57,15.7,0.589,4.7,3.0,2.0,0.6308,65.0,2026
158,Klay Thompson,Dallas Mavericks,57.0,15.4,0.8,0.53,11.3,0.539,0.5,-1.4,0.2,0.3281,64.0,2026
159,Rui Hachimura,Los Angeles Lakers,52.0,15.9,0.9,0.603,11.3,0.615,2.3,-2.3,-0.1,0.6094,64.0,2026
160,Mark Williams,Phoenix Suns,56.0,20.7,1.8,0.635,21.8,0.67,5.9,1.8,1.3,0.5781,64.0,2026
161,Wendell Carter Jr.,Orlando Magic,60.0,21.1,1.5,0.562,14.1,0.607,4.9,-0.4,0.7,0.5556,63.0,2026
162,Dyson Daniels,Atlanta Hawks,61.0,24.2,2.3,0.516,14.7,0.527,4.5,0.3,1.2,0.5156,64.0,2026
163,Julian Champagnie,San Antonio Spurs,64.0,18.7,1.2,0.587,13.5,0.619,5.1,1.7,1.7,0.7344,64.0,2026
164,Isaiah Collier,Utah Jazz,55.0,21.2,1.4,0.533,15.0,0.577,1.8,-2.5,-0.2,0.2969,64.0,2026
165,Scotty Pippen Jr.,Memphis Grizzlies,10.0,18.3,2.3,0.5,14.8,0.537,0.2,-2.7,0.0,0.371,62.0,2026
166,Cam Spencer,Memphis Grizzlies,60.0,19.6,0.8,0.609,17.4,0.652,4.8,2.5,1.6,0.371,62.0,2026
167,Kel'el Ware,Miami Heat,61.0,21.2,2.0,0.601,20.5,0.618,5.4,2.4,1.5,0.5538,65.0,2026
168,Caleb Love,Portland Trail Blazers,45.0,16.5,0.7,0.486,11.1,0.5,0.5,-2.9,-0.2,0.4769,65.0,2026
169,Dylan Harper,San Antonio Spurs,53.0,18.1,1.2,0.524,15.4,0.551,2.7,0.6,0.8,0.7344,64.0,2026
170,Cameron Johnson,Denver Nuggets,38.0,17.4,0.9,0.552,11.1,0.592,1.9,-2.2,0.0,0.6094,64.0,2026
171,Jarace Walker,Indiana Pacers,63.0,18.5,1.1,0.497,11.2,0.535,0.3,-2.9,-0.3,0.2344,64.0,2026
172,Jock Landale,Atlanta Hawks,57.0,18.7,1.0,0.586,17.2,0.602,3.6,0.2,0.7,0.5156,64.0,2026
173,Derrick Jones Jr.,Los Angeles Clippers,31.0,15.1,1.8,0.593,14.2,0.624,1.9,0.0,0.4,0.4921,63.0,2026
174,Tari Eason,Houston Rockets,41.0,19.0,1.9,0.528,13.8,0.539,2.4,-0.4,0.4,0.619,63.0,2026
175,Rudy Gobert,Minnesota Timberwolves,61.0,24.1,2.4,0.708,17.8,0.677,7.3,1.0,1.5,0.625,64.0,2026
176,Isaiah Joe,Oklahoma City Thunder,56.0,15.0,1.0,0.601,15.1,0.642,4.4,2.1,1.3,0.7692,65.0,2026
177,Alondes Williams,Washington Wizards,4.0,20.3,1.6,0.712,19.2,0.745,0.3,0.8,0.1,0.254,63.0,2026
178,Sandro Mamukelashvili,Toronto Raptors,61.0,17.7,1.3,0.604,17.7,0.628,4.6,2.4,1.5,0.5714,63.0,2026
179,Jusuf Nurkić,Utah Jazz,41.0,26.1,1.8,0.538,16.6,0.548,1.6,1.1,0.8,0.2969,64.0,2026
180,Maxime Raynaud,Sacramento Kings,57.0,19.3,1.0,0.574,15.3,0.602,2.4,-3.0,-0.4,0.2308,65.0,2026
181,Christian Braun,Denver Nuggets,28.0,18.6,0.9,0.539,11.5,0.577,1.5,-1.9,0.0,0.6094,64.0,2026
